"","Noyau utilise","F1 score","p pred","vrai p"
"1","logit","0.55","0.62","0.5"
"2","probit","0.54","0.61","0.5"
"3","cloglog","0.68","0.98","0.5"
"4","log",NA,NA,NA
"5","cauchit","0.67","0.74","0.5"
