"","seuil_t","échelle_t","forme_t","Theta_t","p_u_t","p_val_ADarling"
"1",1.31132189479409,0.935617539867999,-0.119509732905595,9.14011974347708,0.1,0.526949273358025
"2",1.31457066684635,0.938781562308968,-0.121051572522726,9.06979055160023,0.1,0.633486249694975
"3",1.31282014987542,0.928492364756776,-0.116333018405232,9.29415148198689,0.1,0.484433581078217
"4",1.31851013639188,0.921748598987046,-0.113124720855792,9.46658415605786,0.1,0.619217296150358
"5",1.32036844604027,0.91277942511155,-0.110023383051848,9.61659966337526,0.1,0.623764124599381
"6",1.3250727678308,0.903436827032136,-0.106653008543049,9.79587766469853,0.1,0.613486544193394
"7",1.32867399165076,0.89332367651212,-0.102619225392851,10.0339012343264,0.1,0.439831512480956
"8",1.3254648943401,0.884792796407664,-0.0988225730048052,10.2788119840242,0.1,0.352449486455522
"9",1.32440808900366,0.885026886481799,-0.0996085450283842,10.2094579231279,0.1,0.323599028627449
"10",1.32355511050792,0.884323992803887,-0.0995806021463398,10.2040395998899,0.1,0.302249501726095
"11",1.32929368986556,0.886586202526701,-0.101184140936504,10.0914000270935,0.1,0.364629065506939
"12",1.32370947457868,0.883072852874631,-0.0997921402796097,10.1728317641731,0.1,0.346295533864692
"13",1.32475357310973,0.883519392137227,-0.100777430901635,10.0917898453441,0.1,0.396121012309461
"14",1.32691946272146,0.89041616493277,-0.104896156545641,9.8154684644701,0.1,0.540126605873947
"15",1.32182004597608,0.890488275870473,-0.105084765655152,9.7958197767526,0.1,0.447274890046812
"16",1.33166689773733,0.909647070732898,-0.115759866158839,9.18971909593815,0.1,0.668477017511871
"17",1.32494056308541,0.908576600026733,-0.115407575142899,9.19770453808202,0.1,0.765564828989513
"18",1.31762007691021,0.906022838005269,-0.114298295711055,9.24444726509233,0.1,0.672976617556633
"19",1.31158163205041,0.905401439385732,-0.114260644856266,9.23558241573829,0.1,0.511356038959687
"20",1.31402625062257,0.90971245656364,-0.117051761879999,9.0859080399482,0.1,0.671586318844924
"21",1.3144236668786,0.915175573592876,-0.120475920322958,8.91075969103664,0.1,0.788612113242382
"22",1.31712709091039,0.921125685102288,-0.1239083090132,8.75105700600723,0.1,0.780243399560984
"23",1.3131003639939,0.916476593377197,-0.121533090192612,8.85406383266502,0.1,0.742314925409401
"24",1.3037927409323,0.900930185171034,-0.112962867937823,9.27924699079183,0.1,0.4114771855641
"25",1.30049082639108,0.894574712774565,-0.109422135244127,9.47593641405685,0.1,0.26613530587024
"26",1.2995505810554,0.890053252357196,-0.106998668811561,9.61790876478847,0.1,0.276677561766557
"27",1.29681989039851,0.886893317899622,-0.105246935535197,9.72360508266687,0.1,0.224213651900089
"28",1.29862145007225,0.888473382715545,-0.10738679019469,9.57220315509163,0.1,0.293055849746668
"29",1.29642602757038,0.88773292589097,-0.107713588238542,9.53803175632026,0.1,0.264876091810265
"30",1.29518717361017,0.885794712741901,-0.107392941873624,9.54335225120225,0.1,0.240988567593179
"31",1.29007034657321,0.878657294698424,-0.103207028114717,9.80361163100762,0.1,0.144747666811293
"32",1.29040724460468,0.875119421926591,-0.101953789938058,9.87389808352558,0.1,0.145487417928826
"33",1.28219150654815,0.864212572458369,-0.0949098025943188,10.3878112511424,0.1,0.0485129468602514
"34",1.28296959921422,0.866443274484826,-0.0972099780533547,10.1960800826799,0.1,0.0627783718346779
"35",1.27938127729553,0.865953076099259,-0.0971510007809558,10.192856888851,0.1,0.045219931590484
"36",1.27720547864817,0.86874868263702,-0.0991923443531067,10.0354285885329,0.1,0.0461156814973257
"37",1.28010338449865,0.877877106033785,-0.105774700495725,9.57960318851149,0.1,0.0952251802330459
