"","coeff_ar1","Intercept"
"1",0.630415400111952,-0.0376286214610012
"2",0.630589360980323,-0.0373302820177392
"3",0.629873740580499,-0.0370302629425658
"4",0.629510655084741,-0.0369371502268968
"5",0.628513198385327,-0.0368610355880771
"6",0.628023580257818,-0.0368965281549973
"7",0.627750612740112,-0.0368880743330917
"8",0.627961545256506,-0.0368310003892127
"9",0.627424433279214,-0.0367162393921253
"10",0.627665371918565,-0.0366808336801422
"11",0.628207184231058,-0.0365576260144711
"12",0.627770683154055,-0.0364095366875904
"13",0.628037996911547,-0.0361302383812822
"14",0.62909799445345,-0.0357241607927946
"15",0.629896616759309,-0.0355221834288836
"16",0.630385506376345,-0.0354012300458733
"17",0.630300365821426,-0.0351380754471688
"18",0.629968800250409,-0.0349110612189766
"19",0.630570728523729,-0.0346884461468604
"20",0.630723650909787,-0.0344908183918197
"21",0.630737105453089,-0.0341959194640587
"22",0.630593186124524,-0.0339182131614259
"23",0.630287950097375,-0.0335390006879971
"24",0.630476760294609,-0.0332939183955884
"25",0.630214741624774,-0.0331205302635886
"26",0.629454375107639,-0.0328514667311247
"27",0.629450814518238,-0.0328460738307599
"28",0.629578089057982,-0.0328273159849713
"29",0.629276789013312,-0.0328248129738925
"30",0.62943095756816,-0.0329554621241358
"31",0.62921851505215,-0.0332069616597354
"32",0.630184590711103,-0.0333453754987356
"33",0.630498642564786,-0.0334421959180729
"34",0.630902681174976,-0.0336628619972351
"35",0.630754185637525,-0.0335968959605657
"36",0.629785683857394,-0.0335528051782063
"37",0.629723682446758,-0.0334761803937142
