"","coeff_ar1","Intercept"
"1",0.264910874487172,7.11803959168124
"2",0.265014261555038,7.11781229186608
"3",0.264814352231611,7.11817004800207
"4",0.264646585790629,7.12077920432423
"5",0.264489366810082,7.12359736660139
"6",0.26398917525977,7.12578132926532
"7",0.263330429787282,7.12853469377686
"8",0.26268757315954,7.13190884587066
"9",0.262733735591218,7.13474169631939
"10",0.262802011987639,7.13699517669503
"11",0.262518322893301,7.13985216044323
"12",0.262180524954283,7.1427455964104
"13",0.261699903215714,7.14402695301173
"14",0.261595671224776,7.14540605700272
"15",0.261338623193978,7.14541796094246
"16",0.261257064801725,7.1473397635386
"17",0.261698489325246,7.14925007212421
"18",0.262441456702971,7.15204405004751
"19",0.262999456695672,7.15561602333623
"20",0.263799409639621,7.15977267413858
"21",0.263754358339724,7.16364710921935
"22",0.263417100063285,7.16711530428676
"23",0.262978286726766,7.16898039682713
"24",0.263006110495361,7.16733148141006
"25",0.262808344037798,7.16422880041013
"26",0.262200286500302,7.16071796549007
"27",0.261962965311566,7.1586467259118
"28",0.262296668417293,7.15711035407617
"29",0.262195136175146,7.1537153781021
"30",0.261539300535864,7.15223025534589
"31",0.260403891339596,7.15026064310893
"32",0.259832713540278,7.148178059005
"33",0.259814364643655,7.14524942055326
"34",0.259941947846852,7.14083644900423
"35",0.260292089171042,7.13904187484401
"36",0.260717853366344,7.13669388316788
"37",0.26091072600168,7.13418570668572
