"","coeff_ar1","coeff_ar2","coeff_ar3","Intercept"
"1",1.13151202357149,-0.390202493037512,0.134377617068783,2.12716934638114
"2",1.13177362832498,-0.390254519587439,0.134196377445596,2.12554815218125
"3",1.13238389118895,-0.391004548876984,0.134446048230972,2.12408773264566
"4",1.13282466425932,-0.391468822935987,0.13456833983523,2.1225998156477
"5",1.13348014897062,-0.392166199729993,0.134729293411977,2.12101731119286
"6",1.13411899084712,-0.392967196404202,0.13497622543196,2.1195427786663
"7",1.1348475429733,-0.393935171815794,0.135338862570725,2.11821464098988
"8",1.13555599737654,-0.394825227599386,0.135618717927842,2.11700895460656
"9",1.13585928448721,-0.395201422167534,0.135764298311032,2.11582487267626
"10",1.13623577935551,-0.39566243465309,0.135916142989917,2.11464744209054
"11",1.13639593242499,-0.396018689930948,0.136143448428295,2.11363117075275
"12",1.13639230714854,-0.396073082746557,0.136222319966952,2.11268326617219
"13",1.13660607876666,-0.396402985993418,0.136383858562961,2.11180230161819
"14",1.13659573107658,-0.396525823843821,0.136503635006376,2.11097982779925
"15",1.13618638721726,-0.396133798494134,0.136496355761232,2.11043467584625
"16",1.13589172773648,-0.395790566909794,0.136444114166847,2.1097764211733
"17",1.13529023115509,-0.395043191630827,0.136227215532058,2.1092662331823
"18",1.1348602872393,-0.394492017959504,0.136075383434928,2.10892972932452
"19",1.13464938875451,-0.394347645363231,0.136124878689567,2.10867049649983
"20",1.13409090999476,-0.39374406805807,0.136015504773094,2.10854883820098
"21",1.13358132724123,-0.393293317293076,0.136001477402571,2.10841780176921
"22",1.1329643633782,-0.392493458202979,0.135755841081216,2.10849585707488
"23",1.13251594651839,-0.391924992173053,0.135566395533035,2.10866992554019
"24",1.13201491193629,-0.391363575629012,0.135459043130082,2.1090009706012
"25",1.13147420029963,-0.390778576356408,0.135324647193796,2.10943560600438
"26",1.13109175831297,-0.390288091404069,0.13516760975557,2.10984948377743
"27",1.1309012131772,-0.390306584913555,0.135344759760775,2.11039697548567
"28",1.13083635993646,-0.390236956888134,0.135306091869097,2.11110242055504
"29",1.13061425628208,-0.390181549240972,0.135440849684661,2.11183658582916
"30",1.13012698882716,-0.38948919973671,0.135152860096851,2.11281701447374
"31",1.12989406021277,-0.389250143292017,0.135109955829773,2.11382613801151
"32",1.12910196296007,-0.388434069134526,0.135007325759895,2.11499475983549
"33",1.12893766385449,-0.388401785268037,0.135106960404093,2.11601192575759
"34",1.12854492904235,-0.387834705275219,0.134905327813874,2.11727293846733
"35",1.12829302452766,-0.387646476111479,0.134928957245844,2.11866371917332
"36",1.12752727912489,-0.386719565980863,0.13469492081426,2.12009793867261
"37",1.12708512690835,-0.386223028047681,0.134574831140512,2.12146157032551
