"","coeff_ar1","coeff_ar2","Intercept"
"1",1.09889358352683,-0.242524336951782,2.12716920555727
"2",1.0991705490186,-0.242738164087332,2.12554796149397
"3",1.09966475431569,-0.243147218004725,2.12408746908092
"4",1.10003871193764,-0.24342858791279,2.12259955781703
"5",1.10059380204135,-0.24387024249021,2.12101757319162
"6",1.10111063118471,-0.244328778316059,2.11954313252122
"7",1.10168763413218,-0.24482007240912,2.11821524644566
"8",1.10225567775823,-0.245325371136101,2.11700990793514
"9",1.10249983881729,-0.245506931659793,2.115825321715
"10",1.10280330505564,-0.245760981928358,2.11464822580215
"11",1.10289500863039,-0.245854132734474,2.11363192407218
"12",1.10287654565645,-0.245824404938469,2.11268394962064
"13",1.10303133740697,-0.245958201357588,2.11180256283903
"14",1.10299378315291,-0.245951133730632,2.11098040216286
"15",1.10263150167081,-0.245616412533177,2.11043524654081
"16",1.10238428285255,-0.245364869868341,2.10977692935311
"17",1.10189667545071,-0.244923109302534,2.10926640001023
"18",1.10154565832294,-0.244586717336112,2.10892979600921
"19",1.10134860185131,-0.244416828779186,2.1086705416691
"20",1.10087624244154,-0.243996250237402,2.1085492512362
"21",1.10042003022586,-0.243624213077033,2.10841786570216
"22",1.09992657246005,-0.243160272601239,2.10849586961598
"23",1.09956440888416,-0.242850498032949,2.10866968529175
"24",1.09914319841028,-0.242463975504065,2.10900063950108
"25",1.09869010365381,-0.24209301879517,2.10943471997616
"26",1.09838277144196,-0.241815928250583,2.10984860302227
"27",1.09816925366401,-0.241667360102777,2.11039605356553
"28",1.09811645675129,-0.241646965466932,2.11110147088008
"29",1.09788574366288,-0.241474715754875,2.1118356592365
"30",1.09751241529363,-0.241149592847178,2.11281605310044
"31",1.09731215541381,-0.240985201432999,2.11382515253584
"32",1.09662904922058,-0.240375301209813,2.11499380221967
"33",1.09645595928329,-0.240258153621029,2.11601094763643
"34",1.09615303751293,-0.23995319563907,2.11727193501291
"35",1.09592167747702,-0.239771243560278,2.11866274650804
"36",1.09529193557053,-0.239186429359881,2.12009693625889
"37",1.09492155731455,-0.238870969158985,2.12146058767463
