"","obs pred","simul pred","variable","noyau"
"obs realite",46,32,"Hs","polynomial"
"simul realite",24,54,"Hs","polynomial"
"Total",70,86,"Hs","polynomial"
"obs realite1",61,17,"L2 de Hs","polynomial"
"simul realite1",49,29,"L2 de Hs","polynomial"
"Total1",110,46,"L2 de Hs","polynomial"
"obs realite2",43,35,"Angle de Hs","polynomial"
"simul realite2",16,62,"Angle de Hs","polynomial"
"Total2",59,97,"Angle de Hs","polynomial"
