"","obs pred","simul pred","variable","noyau"
"obs realite",67,11,"Hs","polynomial"
"simul realite",53,25,"Hs","polynomial"
"Total",120,36,"Hs","polynomial"
"obs realite1",0,78,"L2 de Hs","polynomial"
"simul realite1",0,78,"L2 de Hs","polynomial"
"Total1",0,156,"L2 de Hs","polynomial"
"obs realite2",76,2,"Angle de Hs","polynomial"
"simul realite2",63,15,"Angle de Hs","polynomial"
"Total2",139,17,"Angle de Hs","polynomial"
