"","obs pred","simul pred","variable","noyau"
"obs realite",44,34,"Hs","sigmoid"
"simul realite",45,33,"Hs","sigmoid"
"Total",89,67,"Hs","sigmoid"
"obs realite1",42,36,"L2 de Hs","sigmoid"
"simul realite1",45,33,"L2 de Hs","sigmoid"
"Total1",87,69,"L2 de Hs","sigmoid"
"obs realite2",36,42,"Angle de Hs","sigmoid"
"simul realite2",36,42,"Angle de Hs","sigmoid"
"Total2",72,84,"Angle de Hs","sigmoid"
