"","obs pred","simul pred","variable","noyau"
"obs realite",7,71,"Surcote","polynomial"
"simul realite",13,65,"Surcote","polynomial"
"Total",20,136,"Surcote","polynomial"
"obs realite1",0,78,"L2 de Surcote","polynomial"
"simul realite1",1,77,"L2 de Surcote","polynomial"
"Total1",1,155,"L2 de Surcote","polynomial"
"obs realite2",10,68,"Angle de Surcote","polynomial"
"simul realite2",8,70,"Angle de Surcote","polynomial"
"Total2",18,138,"Angle de Surcote","polynomial"
