"","obs pred","simul pred","variable","noyau"
"obs realite",37,41,"Hs","sigmoid"
"simul realite",36,42,"Hs","sigmoid"
"Total",73,83,"Hs","sigmoid"
"obs realite1",40,38,"L2 de Hs","sigmoid"
"simul realite1",38,40,"L2 de Hs","sigmoid"
"Total1",78,78,"L2 de Hs","sigmoid"
"obs realite2",40,38,"Angle de Hs","sigmoid"
"simul realite2",37,41,"Angle de Hs","sigmoid"
"Total2",77,79,"Angle de Hs","sigmoid"
