"","obs pred","simul pred","variable","noyau"
"obs realite",38,40,"Surcote","radial"
"simul realite",33,45,"Surcote","radial"
"Total",71,85,"Surcote","radial"
"obs realite1",38,40,"L2 de Surcote","radial"
"simul realite1",32,46,"L2 de Surcote","radial"
"Total1",70,86,"L2 de Surcote","radial"
"obs realite2",66,12,"Angle de Surcote","radial"
"simul realite2",41,37,"Angle de Surcote","radial"
"Total2",107,49,"Angle de Surcote","radial"
