"","obs pred","simul pred","variable","noyau"
"obs realite",64,14,"Hs","polynomial"
"simul realite",37,41,"Hs","polynomial"
"Total",101,55,"Hs","polynomial"
"obs realite1",39,39,"L2 de Hs","polynomial"
"simul realite1",7,71,"L2 de Hs","polynomial"
"Total1",46,110,"L2 de Hs","polynomial"
"obs realite2",73,5,"Angle de Hs","polynomial"
"simul realite2",60,18,"Angle de Hs","polynomial"
"Total2",133,23,"Angle de Hs","polynomial"
