"","obs pred","simul pred","variable","noyau"
"obs realite",5,73,"Surcote","polynomial"
"simul realite",5,73,"Surcote","polynomial"
"Total",10,146,"Surcote","polynomial"
"obs realite1",7,71,"L2 de Surcote","polynomial"
"simul realite1",4,74,"L2 de Surcote","polynomial"
"Total1",11,145,"L2 de Surcote","polynomial"
"obs realite2",73,5,"Angle de Surcote","polynomial"
"simul realite2",59,19,"Angle de Surcote","polynomial"
"Total2",132,24,"Angle de Surcote","polynomial"
