"","obs pred","simul pred","variable","noyau"
"obs realite",33,45,"Hs","polynomial"
"simul realite",19,59,"Hs","polynomial"
"Total",52,104,"Hs","polynomial"
"obs realite1",12,66,"L2 de Hs","polynomial"
"simul realite1",8,70,"L2 de Hs","polynomial"
"Total1",20,136,"L2 de Hs","polynomial"
"obs realite2",74,4,"Angle de Hs","polynomial"
"simul realite2",55,23,"Angle de Hs","polynomial"
"Total2",129,27,"Angle de Hs","polynomial"
