"","obs pred","simul pred","variable","noyau"
"obs realite",43,35,"Surcote","linear"
"simul realite",17,61,"Surcote","linear"
"Total",60,96,"Surcote","linear"
"obs realite1",44,34,"L2 de Surcote","linear"
"simul realite1",17,61,"L2 de Surcote","linear"
"Total1",61,95,"L2 de Surcote","linear"
"obs realite2",64,14,"Angle de Surcote","linear"
"simul realite2",47,31,"Angle de Surcote","linear"
"Total2",111,45,"Angle de Surcote","linear"
