"","obs pred","simul pred","variable","noyau"
"obs realite",22,56,"Surcote","polynomial"
"simul realite",4,74,"Surcote","polynomial"
"Total",26,130,"Surcote","polynomial"
"obs realite1",22,56,"L2 de Surcote","polynomial"
"simul realite1",7,71,"L2 de Surcote","polynomial"
"Total1",29,127,"L2 de Surcote","polynomial"
"obs realite2",72,6,"Angle de Surcote","polynomial"
"simul realite2",58,20,"Angle de Surcote","polynomial"
"Total2",130,26,"Angle de Surcote","polynomial"
