"","obs pred","simul pred","variable","noyau"
"obs realite",46,32,"Hs","linear"
"simul realite",25,53,"Hs","linear"
"Total",71,85,"Hs","linear"
"obs realite1",42,36,"L2 de Hs","linear"
"simul realite1",27,51,"L2 de Hs","linear"
"Total1",69,87,"L2 de Hs","linear"
"obs realite2",69,9,"Angle de Hs","linear"
"simul realite2",52,26,"Angle de Hs","linear"
"Total2",121,35,"Angle de Hs","linear"
