"","obs pred","simul pred","variable","noyau"
"obs realite",36,42,"Hs","sigmoid"
"simul realite",40,38,"Hs","sigmoid"
"Total",76,80,"Hs","sigmoid"
"obs realite1",36,42,"L2 de Hs","sigmoid"
"simul realite1",41,37,"L2 de Hs","sigmoid"
"Total1",77,79,"L2 de Hs","sigmoid"
"obs realite2",36,42,"Angle de Hs","sigmoid"
"simul realite2",38,40,"Angle de Hs","sigmoid"
"Total2",74,82,"Angle de Hs","sigmoid"
