"","obs pred","simul pred","variable","noyau"
"obs realite",44,34,"Surcote","sigmoid"
"simul realite",45,33,"Surcote","sigmoid"
"Total",89,67,"Surcote","sigmoid"
"obs realite1",32,46,"L2 de Surcote","sigmoid"
"simul realite1",31,47,"L2 de Surcote","sigmoid"
"Total1",63,93,"L2 de Surcote","sigmoid"
"obs realite2",34,44,"Angle de Surcote","sigmoid"
"simul realite2",35,43,"Angle de Surcote","sigmoid"
"Total2",69,87,"Angle de Surcote","sigmoid"
