"","obs pred","simul pred","variable","noyau"
"obs realite",34,44,"Surcote","radial"
"simul realite",41,37,"Surcote","radial"
"Total",75,81,"Surcote","radial"
"obs realite1",36,42,"L2 de Surcote","radial"
"simul realite1",44,34,"L2 de Surcote","radial"
"Total1",80,76,"L2 de Surcote","radial"
"obs realite2",67,11,"Angle de Surcote","radial"
"simul realite2",42,36,"Angle de Surcote","radial"
"Total2",109,47,"Angle de Surcote","radial"
