"","obs pred","simul pred","variable","noyau"
"obs realite",50,28,"Hs","linear"
"simul realite",17,61,"Hs","linear"
"Total",67,89,"Hs","linear"
"obs realite1",57,21,"L2 de Hs","linear"
"simul realite1",19,59,"L2 de Hs","linear"
"Total1",76,80,"L2 de Hs","linear"
"obs realite2",25,53,"Angle de Hs","linear"
"simul realite2",18,60,"Angle de Hs","linear"
"Total2",43,113,"Angle de Hs","linear"
