"","obs pred","simul pred","variable","noyau"
"obs realite",50,28,"Hs","radial"
"simul realite",41,37,"Hs","radial"
"Total",91,65,"Hs","radial"
"obs realite1",51,27,"L2 de Hs","radial"
"simul realite1",42,36,"L2 de Hs","radial"
"Total1",93,63,"L2 de Hs","radial"
"obs realite2",52,26,"Angle de Hs","radial"
"simul realite2",39,39,"Angle de Hs","radial"
"Total2",91,65,"Angle de Hs","radial"
