"","obs pred","simul pred","variable","noyau"
"obs realite",31,47,"Hs","radial"
"simul realite",32,46,"Hs","radial"
"Total",63,93,"Hs","radial"
"obs realite1",23,55,"L2 de Hs","radial"
"simul realite1",28,50,"L2 de Hs","radial"
"Total1",51,105,"L2 de Hs","radial"
"obs realite2",50,28,"Angle de Hs","radial"
"simul realite2",45,33,"Angle de Hs","radial"
"Total2",95,61,"Angle de Hs","radial"
