"","obs pred","simul pred","variable","noyau"
"obs realite",54,24,"Hs","radial"
"simul realite",18,60,"Hs","radial"
"Total",72,84,"Hs","radial"
"obs realite1",56,22,"L2 de Hs","radial"
"simul realite1",18,60,"L2 de Hs","radial"
"Total1",74,82,"L2 de Hs","radial"
"obs realite2",46,32,"Angle de Hs","radial"
"simul realite2",34,44,"Angle de Hs","radial"
"Total2",80,76,"Angle de Hs","radial"
