"","obs pred","simul pred","variable","noyau"
"obs realite",45,33,"Surcote","radial"
"simul realite",19,59,"Surcote","radial"
"Total",64,92,"Surcote","radial"
"obs realite1",44,34,"L2 de Surcote","radial"
"simul realite1",17,61,"L2 de Surcote","radial"
"Total1",61,95,"L2 de Surcote","radial"
"obs realite2",63,15,"Angle de Surcote","radial"
"simul realite2",42,36,"Angle de Surcote","radial"
"Total2",105,51,"Angle de Surcote","radial"
