"","obs pred","simul pred","variable","noyau"
"obs realite",38,40,"Hs","sigmoid"
"simul realite",8,70,"Hs","sigmoid"
"Total",46,110,"Hs","sigmoid"
"obs realite1",42,36,"L2 de Hs","sigmoid"
"simul realite1",23,55,"L2 de Hs","sigmoid"
"Total1",65,91,"L2 de Hs","sigmoid"
"obs realite2",28,50,"Angle de Hs","sigmoid"
"simul realite2",33,45,"Angle de Hs","sigmoid"
"Total2",61,95,"Angle de Hs","sigmoid"
