"","obs pred","simul pred","variable","noyau"
"obs realite",28,50,"Surcote","linear"
"simul realite",27,51,"Surcote","linear"
"Total",55,101,"Surcote","linear"
"obs realite1",20,58,"L2 de Surcote","linear"
"simul realite1",24,54,"L2 de Surcote","linear"
"Total1",44,112,"L2 de Surcote","linear"
"obs realite2",28,50,"Angle de Surcote","linear"
"simul realite2",32,46,"Angle de Surcote","linear"
"Total2",60,96,"Angle de Surcote","linear"
