"","obs pred","simul pred","variable","noyau"
"obs realite",42,36,"Hs","radial"
"simul realite",24,54,"Hs","radial"
"Total",66,90,"Hs","radial"
"obs realite1",42,36,"L2 de Hs","radial"
"simul realite1",29,49,"L2 de Hs","radial"
"Total1",71,85,"L2 de Hs","radial"
"obs realite2",72,6,"Angle de Hs","radial"
"simul realite2",49,29,"Angle de Hs","radial"
"Total2",121,35,"Angle de Hs","radial"
