"","obs pred","simul pred","variable","noyau"
"obs realite",55,23,"Hs","radial"
"simul realite",36,42,"Hs","radial"
"Total",91,65,"Hs","radial"
"obs realite1",56,22,"L2 de Hs","radial"
"simul realite1",37,41,"L2 de Hs","radial"
"Total1",93,63,"L2 de Hs","radial"
"obs realite2",24,54,"Angle de Hs","radial"
"simul realite2",14,64,"Angle de Hs","radial"
"Total2",38,118,"Angle de Hs","radial"
