"","obs pred","simul pred","variable","noyau"
"obs realite",27,51,"Surcote","linear"
"simul realite",25,53,"Surcote","linear"
"Total",52,104,"Surcote","linear"
"obs realite1",28,50,"L2 de Surcote","linear"
"simul realite1",25,53,"L2 de Surcote","linear"
"Total1",53,103,"L2 de Surcote","linear"
"obs realite2",46,32,"Angle de Surcote","linear"
"simul realite2",38,40,"Angle de Surcote","linear"
"Total2",84,72,"Angle de Surcote","linear"
