"","obs pred","simul pred","variable","noyau"
"obs realite",55,23,"Hs","linear"
"simul realite",35,43,"Hs","linear"
"Total",90,66,"Hs","linear"
"obs realite1",54,24,"L2 de Hs","linear"
"simul realite1",36,42,"L2 de Hs","linear"
"Total1",90,66,"L2 de Hs","linear"
"obs realite2",21,57,"Angle de Hs","linear"
"simul realite2",10,68,"Angle de Hs","linear"
"Total2",31,125,"Angle de Hs","linear"
