"","obs pred","simul pred","variable","noyau"
"obs realite",46,32,"Hs","sigmoid"
"simul realite",38,40,"Hs","sigmoid"
"Total",84,72,"Hs","sigmoid"
"obs realite1",45,33,"L2 de Hs","sigmoid"
"simul realite1",38,40,"L2 de Hs","sigmoid"
"Total1",83,73,"L2 de Hs","sigmoid"
"obs realite2",43,35,"Angle de Hs","sigmoid"
"simul realite2",44,34,"Angle de Hs","sigmoid"
"Total2",87,69,"Angle de Hs","sigmoid"
