"","obs pred","simul pred","variable","noyau"
"obs realite",42,36,"Hs","linear"
"simul realite",28,50,"Hs","linear"
"Total",70,86,"Hs","linear"
"obs realite1",38,40,"L2 de Hs","linear"
"simul realite1",28,50,"L2 de Hs","linear"
"Total1",66,90,"L2 de Hs","linear"
"obs realite2",66,12,"Angle de Hs","linear"
"simul realite2",61,17,"Angle de Hs","linear"
"Total2",127,29,"Angle de Hs","linear"
