"","obs pred","simul pred","variable","noyau"
"obs realite",27,51,"Surcote","sigmoid"
"simul realite",36,42,"Surcote","sigmoid"
"Total",63,93,"Surcote","sigmoid"
"obs realite1",27,51,"L2 de Surcote","sigmoid"
"simul realite1",38,40,"L2 de Surcote","sigmoid"
"Total1",65,91,"L2 de Surcote","sigmoid"
"obs realite2",43,35,"Angle de Surcote","sigmoid"
"simul realite2",47,31,"Angle de Surcote","sigmoid"
"Total2",90,66,"Angle de Surcote","sigmoid"
