"","obs pred","simul pred","variable","noyau"
"obs realite",43,35,"Surcote","sigmoid"
"simul realite",32,46,"Surcote","sigmoid"
"Total",75,81,"Surcote","sigmoid"
"obs realite1",44,34,"L2 de Surcote","sigmoid"
"simul realite1",33,45,"L2 de Surcote","sigmoid"
"Total1",77,79,"L2 de Surcote","sigmoid"
"obs realite2",41,37,"Angle de Surcote","sigmoid"
"simul realite2",46,32,"Angle de Surcote","sigmoid"
"Total2",87,69,"Angle de Surcote","sigmoid"
