"","obs pred","simul pred","variable","noyau"
"obs realite",73,5,"Hs","polynomial"
"simul realite",65,13,"Hs","polynomial"
"Total",138,18,"Hs","polynomial"
"obs realite1",0,78,"L2 de Hs","polynomial"
"simul realite1",0,78,"L2 de Hs","polynomial"
"Total1",0,156,"L2 de Hs","polynomial"
"obs realite2",77,1,"Angle de Hs","polynomial"
"simul realite2",60,18,"Angle de Hs","polynomial"
"Total2",137,19,"Angle de Hs","polynomial"
