"","obs pred","simul pred","variable","lien"
"obs realite",56,22,"Hs","cauchit"
"simul realite",15,63,"Hs","cauchit"
"Total",71,85,"Hs","cauchit"
"obs realite1",56,22,"L2 de Hs","cauchit"
"simul realite1",15,63,"L2 de Hs","cauchit"
"Total1",71,85,"L2 de Hs","cauchit"
"obs realite2",29,49,"Angle de Hs","cauchit"
"simul realite2",23,55,"Angle de Hs","cauchit"
"Total2",52,104,"Angle de Hs","cauchit"
