"","obs pred","simul pred","variable","lien"
"obs realite",29,49,"Hs","cloglog"
"simul realite",21,57,"Hs","cloglog"
"Total",50,106,"Hs","cloglog"
"obs realite1",34,44,"L2 de Hs","cloglog"
"simul realite1",38,40,"L2 de Hs","cloglog"
"Total1",72,84,"L2 de Hs","cloglog"
"obs realite2",41,37,"Angle de Hs","cloglog"
"simul realite2",32,46,"Angle de Hs","cloglog"
"Total2",73,83,"Angle de Hs","cloglog"
