"","obs pred","simul pred","variable","lien"
"obs realite",44,34,"Surcote","cauchit"
"simul realite",19,59,"Surcote","cauchit"
"Total",63,93,"Surcote","cauchit"
"obs realite1",44,34,"L2 de Surcote","cauchit"
"simul realite1",19,59,"L2 de Surcote","cauchit"
"Total1",63,93,"L2 de Surcote","cauchit"
"obs realite2",49,29,"Angle de Surcote","cauchit"
"simul realite2",27,51,"Angle de Surcote","cauchit"
"Total2",76,80,"Angle de Surcote","cauchit"
