"","obs pred","simul pred","variable","lien"
"obs realite",40,38,"Hs","cauchit"
"simul realite",30,48,"Hs","cauchit"
"Total",70,86,"Hs","cauchit"
"obs realite1",40,38,"L2 de Hs","cauchit"
"simul realite1",30,48,"L2 de Hs","cauchit"
"Total1",70,86,"L2 de Hs","cauchit"
"obs realite2",43,35,"Angle de Hs","cauchit"
"simul realite2",24,54,"Angle de Hs","cauchit"
"Total2",67,89,"Angle de Hs","cauchit"
