"","obs pred","simul pred","variable","lien"
"obs realite",32,46,"Surcote","probit"
"simul realite",20,58,"Surcote","probit"
"Total",52,104,"Surcote","probit"
"obs realite1",33,45,"L2 de Surcote","probit"
"simul realite1",28,50,"L2 de Surcote","probit"
"Total1",61,95,"L2 de Surcote","probit"
"obs realite2",40,38,"Angle de Surcote","probit"
"simul realite2",29,49,"Angle de Surcote","probit"
"Total2",69,87,"Angle de Surcote","probit"
