"","obs pred","simul pred","variable","lien"
"obs realite",38,40,"Hs","logit"
"simul realite",27,51,"Hs","logit"
"Total",65,91,"Hs","logit"
"obs realite1",38,40,"L2 de Hs","logit"
"simul realite1",27,51,"L2 de Hs","logit"
"Total1",65,91,"L2 de Hs","logit"
"obs realite2",43,35,"Angle de Hs","logit"
"simul realite2",27,51,"Angle de Hs","logit"
"Total2",70,86,"Angle de Hs","logit"
