"","obs pred","simul pred","variable","lien"
"obs realite",26,52,"Surcote","cauchit"
"simul realite",33,45,"Surcote","cauchit"
"Total",59,97,"Surcote","cauchit"
"obs realite1",34,44,"L2 de Surcote","cauchit"
"simul realite1",38,40,"L2 de Surcote","cauchit"
"Total1",72,84,"L2 de Surcote","cauchit"
"obs realite2",24,54,"Angle de Surcote","cauchit"
"simul realite2",38,40,"Angle de Surcote","cauchit"
"Total2",62,94,"Angle de Surcote","cauchit"
