"","obs pred","simul pred","variable","lien"
"obs realite",26,52,"Surcote","probit"
"simul realite",39,39,"Surcote","probit"
"Total",65,91,"Surcote","probit"
"obs realite1",34,44,"L2 de Surcote","probit"
"simul realite1",38,40,"L2 de Surcote","probit"
"Total1",72,84,"L2 de Surcote","probit"
"obs realite2",26,52,"Angle de Surcote","probit"
"simul realite2",40,38,"Angle de Surcote","probit"
"Total2",66,90,"Angle de Surcote","probit"
