"","obs pred","simul pred","variable","lien"
"obs realite",38,40,"Hs","probit"
"simul realite",27,51,"Hs","probit"
"Total",65,91,"Hs","probit"
"obs realite1",38,40,"L2 de Hs","probit"
"simul realite1",27,51,"L2 de Hs","probit"
"Total1",65,91,"L2 de Hs","probit"
"obs realite2",44,34,"Angle de Hs","probit"
"simul realite2",28,50,"Angle de Hs","probit"
"Total2",72,84,"Angle de Hs","probit"
