"","obs pred","simul pred","variable","lien"
"obs realite",43,35,"Hs","cauchit"
"simul realite",30,48,"Hs","cauchit"
"Total",73,83,"Hs","cauchit"
"obs realite1",43,35,"L2 de Hs","cauchit"
"simul realite1",30,48,"L2 de Hs","cauchit"
"Total1",73,83,"L2 de Hs","cauchit"
"obs realite2",39,39,"Angle de Hs","cauchit"
"simul realite2",28,50,"Angle de Hs","cauchit"
"Total2",67,89,"Angle de Hs","cauchit"
