"","obs pred","simul pred","variable","lien"
"obs realite",41,37,"Hs","log"
"simul realite",30,48,"Hs","log"
"Total",71,85,"Hs","log"
"obs realite1",41,37,"L2 de Hs","log"
"simul realite1",30,48,"L2 de Hs","log"
"Total1",71,85,"L2 de Hs","log"
