"","Noyau utilise","F1 score","p pred","vrai p"
"1","logit","0.57","0.65","0.5"
"2","probit","0.56","0.65","0.5"
"3","cloglog","0.62","0.68","0.5"
"4","log",NA,NA,NA
"5","cauchit","0.58","0.65","0.5"
