"","obs pred","simul pred","variable","lien"
"obs realite",60,18,"Hs","cloglog"
"simul realite",26,52,"Hs","cloglog"
"Total",86,70,"Hs","cloglog"
"obs realite1",60,18,"L2 de Hs","cloglog"
"simul realite1",26,52,"L2 de Hs","cloglog"
"Total1",86,70,"L2 de Hs","cloglog"
"obs realite2",8,70,"Angle de Hs","cloglog"
"simul realite2",1,77,"Angle de Hs","cloglog"
"Total2",9,147,"Angle de Hs","cloglog"
