"","obs pred","simul pred","variable","lien"
"obs realite",39,39,"Hs","cloglog"
"simul realite",28,50,"Hs","cloglog"
"Total",67,89,"Hs","cloglog"
"obs realite1",39,39,"L2 de Hs","cloglog"
"simul realite1",28,50,"L2 de Hs","cloglog"
"Total1",67,89,"L2 de Hs","cloglog"
"obs realite2",8,70,"Angle de Hs","cloglog"
"simul realite2",0,78,"Angle de Hs","cloglog"
"Total2",8,148,"Angle de Hs","cloglog"
