"","obs pred","simul pred","variable","lien"
"obs realite",27,51,"Hs","probit"
"simul realite",28,50,"Hs","probit"
"Total",55,101,"Hs","probit"
"obs realite1",34,44,"L2 de Hs","probit"
"simul realite1",38,40,"L2 de Hs","probit"
"Total1",72,84,"L2 de Hs","probit"
"obs realite2",24,54,"Angle de Hs","probit"
"simul realite2",28,50,"Angle de Hs","probit"
"Total2",52,104,"Angle de Hs","probit"
