"","obs pred","simul pred","variable","lien"
"obs realite",44,34,"Surcote","logit"
"simul realite",18,60,"Surcote","logit"
"Total",62,94,"Surcote","logit"
"obs realite1",44,34,"L2 de Surcote","logit"
"simul realite1",18,60,"L2 de Surcote","logit"
"Total1",62,94,"L2 de Surcote","logit"
"obs realite2",49,29,"Angle de Surcote","logit"
"simul realite2",36,42,"Angle de Surcote","logit"
"Total2",85,71,"Angle de Surcote","logit"
