"","obs pred","simul pred","variable","lien"
"obs realite",31,47,"Surcote","cauchit"
"simul realite",18,60,"Surcote","cauchit"
"Total",49,107,"Surcote","cauchit"
"obs realite1",34,44,"L2 de Surcote","cauchit"
"simul realite1",28,50,"L2 de Surcote","cauchit"
"Total1",62,94,"L2 de Surcote","cauchit"
"obs realite2",41,37,"Angle de Surcote","cauchit"
"simul realite2",27,51,"Angle de Surcote","cauchit"
"Total2",68,88,"Angle de Surcote","cauchit"
