"","obs pred","simul pred","variable","lien"
"obs realite",28,50,"Surcote","cloglog"
"simul realite",41,37,"Surcote","cloglog"
"Total",69,87,"Surcote","cloglog"
"obs realite1",34,44,"L2 de Surcote","cloglog"
"simul realite1",38,40,"L2 de Surcote","cloglog"
"Total1",72,84,"L2 de Surcote","cloglog"
"obs realite2",7,71,"Angle de Surcote","cloglog"
"simul realite2",7,71,"Angle de Surcote","cloglog"
"Total2",14,142,"Angle de Surcote","cloglog"
