"","obs pred","simul pred","variable","lien"
"obs realite",44,34,"Surcote","probit"
"simul realite",18,60,"Surcote","probit"
"Total",62,94,"Surcote","probit"
"obs realite1",44,34,"L2 de Surcote","probit"
"simul realite1",18,60,"L2 de Surcote","probit"
"Total1",62,94,"L2 de Surcote","probit"
"obs realite2",49,29,"Angle de Surcote","probit"
"simul realite2",36,42,"Angle de Surcote","probit"
"Total2",85,71,"Angle de Surcote","probit"
