"","obs pred","simul pred","variable","lien"
"obs realite",54,24,"Hs","probit"
"simul realite",36,42,"Hs","probit"
"Total",90,66,"Hs","probit"
"obs realite1",54,24,"L2 de Hs","probit"
"simul realite1",36,42,"L2 de Hs","probit"
"Total1",90,66,"L2 de Hs","probit"
"obs realite2",44,34,"Angle de Hs","probit"
"simul realite2",40,38,"Angle de Hs","probit"
"Total2",84,72,"Angle de Hs","probit"
