"","obs pred","simul pred","variable","lien"
"obs realite",57,21,"Hs","probit"
"simul realite",20,58,"Hs","probit"
"Total",77,79,"Hs","probit"
"obs realite1",57,21,"L2 de Hs","probit"
"simul realite1",20,58,"L2 de Hs","probit"
"Total1",77,79,"L2 de Hs","probit"
"obs realite2",35,43,"Angle de Hs","probit"
"simul realite2",24,54,"Angle de Hs","probit"
"Total2",59,97,"Angle de Hs","probit"
