"","obs pred","simul pred","variable","lien"
"obs realite",30,48,"Surcote","cloglog"
"simul realite",22,56,"Surcote","cloglog"
"Total",52,104,"Surcote","cloglog"
"obs realite1",34,44,"L2 de Surcote","cloglog"
"simul realite1",31,47,"L2 de Surcote","cloglog"
"Total1",65,91,"L2 de Surcote","cloglog"
"obs realite2",41,37,"Angle de Surcote","cloglog"
"simul realite2",31,47,"Angle de Surcote","cloglog"
"Total2",72,84,"Angle de Surcote","cloglog"
