"","obs pred","simul pred","variable","lien"
"obs realite",26,52,"Surcote","logit"
"simul realite",38,40,"Surcote","logit"
"Total",64,92,"Surcote","logit"
"obs realite1",34,44,"L2 de Surcote","logit"
"simul realite1",38,40,"L2 de Surcote","logit"
"Total1",72,84,"L2 de Surcote","logit"
"obs realite2",25,53,"Angle de Surcote","logit"
"simul realite2",40,38,"Angle de Surcote","logit"
"Total2",65,91,"Angle de Surcote","logit"
