"","obs pred","simul pred","variable","lien"
"obs realite",28,50,"Hs","cauchit"
"simul realite",26,52,"Hs","cauchit"
"Total",54,102,"Hs","cauchit"
"obs realite1",34,44,"L2 de Hs","cauchit"
"simul realite1",38,40,"L2 de Hs","cauchit"
"Total1",72,84,"L2 de Hs","cauchit"
"obs realite2",28,50,"Angle de Hs","cauchit"
"simul realite2",27,51,"Angle de Hs","cauchit"
"Total2",55,101,"Angle de Hs","cauchit"
