"","obs pred","simul pred","variable","lien"
"obs realite",56,22,"Hs","cloglog"
"simul realite",40,38,"Hs","cloglog"
"Total",96,60,"Hs","cloglog"
"obs realite1",56,22,"L2 de Hs","cloglog"
"simul realite1",40,38,"L2 de Hs","cloglog"
"Total1",96,60,"L2 de Hs","cloglog"
"obs realite2",25,53,"Angle de Hs","cloglog"
"simul realite2",22,56,"Angle de Hs","cloglog"
"Total2",47,109,"Angle de Hs","cloglog"
