"","obs pred","simul pred","variable","lien"
"obs realite",45,33,"Surcote","cloglog"
"simul realite",20,58,"Surcote","cloglog"
"Total",65,91,"Surcote","cloglog"
"obs realite1",45,33,"L2 de Surcote","cloglog"
"simul realite1",20,58,"L2 de Surcote","cloglog"
"Total1",65,91,"L2 de Surcote","cloglog"
"obs realite2",68,10,"Angle de Surcote","cloglog"
"simul realite2",63,15,"Angle de Surcote","cloglog"
"Total2",131,25,"Angle de Surcote","cloglog"
