"","obs pred","simul pred","variable","lien"
"obs realite",52,26,"Hs","cauchit"
"simul realite",34,44,"Hs","cauchit"
"Total",86,70,"Hs","cauchit"
"obs realite1",52,26,"L2 de Hs","cauchit"
"simul realite1",34,44,"L2 de Hs","cauchit"
"Total1",86,70,"L2 de Hs","cauchit"
"obs realite2",35,43,"Angle de Hs","cauchit"
"simul realite2",30,48,"Angle de Hs","cauchit"
"Total2",65,91,"Angle de Hs","cauchit"
